EMLO Letter ID Number,Year date,Month date,Day date,Standard gregorian date,Date is range (0=No; 1=Yes),Year 2nd date (range),Month 2nd date (range),Day 2nd date (range),"Calendar of date provided to EMLO (G=Gregorian; JJ=Julian, year start 1 January; JM=Julian, year start March, U=Unknown)",Date as marked on letter,Date uncertain (0=No; 1=Yes),Date approximate (0=No; 1=Yes),Date inferred (0=No; 1=Yes),Notes on date,Author,Author EMLO ID,Author as marked in body/text of letter,Author inferred (0=No; 1=Yes),Author uncertain (0=No; 1=Yes),Notes on Author in relation to letter,Recipient,Recipient EMLO ID,Recipient as marked in body/text of letter,Recipient inferred (0=No; 1=Yes),Recipient uncertain (0=No; 1=Yes),Notes on Recipient in relation to letter,Origin name,Origin EMLO ID,Origin as marked in body/text of letter,Origin inferred (0=No; 1=Yes),Origin uncertain (0=No; 1=Yes),Notes on Origin in relation to letter,Destination name,Destination EMLO ID,Destination as marked in body/text of letter,Destination inferred (0=No; 1=Yes),Destination uncertain (0=No; 1=Yes),Notes on Destination in relation to letter,Abstract,Keywords,Language(s),Incipit,Explicit,People mentioned,EMLO IDs of people mentioned,Notes on people mentioned,Original Catalogue name,Matching letter(s) in alternative EMLO catalogue(s) (self reference also),Match id number,Related Resource IDs [er = number for link to EMLO letter],General notes for public display,Editors' working notes,UUID,EMLO URL
100586,1682,4,7,1682-04-17,0,,,,JM,Apr. 7th 1682,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"York, North Yorkshire, England",300202,York,0,0,,"London, England",1606,,1,0,,Concerning Lister's turquoise specimens and the illustrations in his edition of Goedart's Book of Insects.,,English,,,,,,"Lister, Martin",,,,,,c95c3abc-c9e1-44b6-bbe1-cdd342afb586,http://emlo.bodleian.ox.ac.uk/profile/work/c95c3abc-c9e1-44b6-bbe1-cdd342afb586
100583,1682,3,4,1682-03-14,0,,,,JM,4 March 1681/2,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"York, North Yorkshire, England",300202,York,0,0,,,,,0,0,,"Lister had sent up 50 small books to the Royal Society, his appendix to his Historia Animalium, which was available for one shilling each.  He reported that he had sent up rare species of black mussel.",,English,,,,,,"Lister, Martin",,,,"Read to the Royal Society March 15, 1682.  Lister was referring to: Martin Lister, Historiae animalium Angliae tres tractatus. London, 1678.",,c558e2c0-0fef-4f75-981f-39958207f68c,http://emlo.bodleian.ox.ac.uk/profile/work/c558e2c0-0fef-4f75-981f-39958207f68c
100582,1682,2,11,1682-02-21,0,,,,JM,Feb. 11 1681/2,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"York, North Yorkshire, England",300202,York,0,0,,,,,0,0,,"Lister encouraged the Royal Society to consider printing Willoughby's history of fishes from the manuscripts he left at this death. He thanked Royal Society for taking 50 copies of his Goedart, and he sent 6 English turquoises.",,English,,,,,,"Lister, Martin",,,,"Read to the Royal Society on February 15, 1682",,c9081926-7aff-4bec-8066-d6430a016eb7,http://emlo.bodleian.ox.ac.uk/profile/work/c9081926-7aff-4bec-8066-d6430a016eb7
100587,1682,,,1683-01-10,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"York, North Yorkshire, England",300202,York,0,0,,"London, England",1606,,1,0,,Extract of some letters of Lister to Aston about the chyle. Lister accused Payerus in his De glandulis intestinum of plagiarizing his ideas that were published five years earlier in the Phil. Trans.,,English,,,,,,"Lister, Martin",,,,Read to the Royal Society on 6 December 1682.; Scribal copy of extracts,,20f0b660-003e-4fbf-8fd8-d04c319a5814,http://emlo.bodleian.ox.ac.uk/profile/work/20f0b660-003e-4fbf-8fd8-d04c319a5814
100588,1682,12,17,1682-12-27,0,,,,JM,Dec. 17th. 1682,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"York, North Yorkshire, England",300202,York,0,0,,"London, England",1606,,1,0,,Contained Lister's answer to some objections offered about Lister's conjectures about the whiteness of chyle. Aston was desired to communicate it to Nehemiah Grew,,English,,,,,,"Lister, Martin",,,,Read to the Royal Society on 20 December 1682.,,ce8e17e4-43f3-446a-b9d7-f8c751deaba6,http://emlo.bodleian.ox.ac.uk/profile/work/ce8e17e4-43f3-446a-b9d7-f8c751deaba6
100593,1683,3,3,1683-03-13,0,,,,JM,"March 3, 1682/3",0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"York, North Yorkshire, England",300202,York,0,0,,"London, England",1606,,1,0,,Lister discussed objections to his book on mineral waters (De Fontibus) and reported that he had sent the copper plate of the Roman altar and donated it to the Royal Society.,,English,,,,,,"Lister, Martin",,,,Read to the Royal Society on  2 March 1683,,fb26a3ac-7d2b-4e73-96db-863c28b56cfe,http://emlo.bodleian.ox.ac.uk/profile/work/fb26a3ac-7d2b-4e73-96db-863c28b56cfe
100599,1683,8,5,1683-08-15,0,,,,JM,Augt. 5th. 1683,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"Bath, Somerset, England",400103,Bath,0,0,,"London, England",1606,,1,0,,"Concerning different accounts of spa waters, the collection of William Cole, and a report of an antiquity that Lister saw with a relief of two soldiers fighting, which Lister drew.",,English,,,,,,"Lister, Martin",,,,,,e3a1b155-057e-4558-9609-18b93ac1bfc7,http://emlo.bodleian.ox.ac.uk/profile/work/e3a1b155-057e-4558-9609-18b93ac1bfc7
100600,1683,12,14,1683-12-24,0,,,,JM,December 14th 1683,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"York, North Yorkshire, England",300202,,1,1,,"London, England",1606,,1,0,,"Lister postulated there were two petrifying juices in nature, responsible for fossils, shells, and the stone in humans. The letter was extracted from  Lister's book De Fontibus",,English,,,,,,"Lister, Martin",,,,Read to the Royal Society on 19 December 1683,,f07a2568-dd5d-4686-968d-bf3e6de85c85,http://emlo.bodleian.ox.ac.uk/profile/work/f07a2568-dd5d-4686-968d-bf3e6de85c85
100594,1683,3,26,1683-04-05,0,,,,JM,"March 26, 1683",0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"York, North Yorkshire, England",300202,York,0,0,,"London, England",1606,,1,0,,Lister provided a detailed case study of hydrophobia [rabies].,,English,,,,,,"Lister, Martin",,,,Read to the Royal Society on 4 April 1683,,85f25e59-a85a-4bda-9be6-59d873f13ad0,http://emlo.bodleian.ox.ac.uk/profile/work/85f25e59-a85a-4bda-9be6-59d873f13ad0
100589,1683,1,10,1683-01-20,0,,,,JM,Jan 10th. 1682,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,,,,0,0,,"London, England",1606,,1,0,,"Described experiment with tinging the chyle, and Lister suggested using the Indian Prickle Pear from the Barbadoes as a dye.",,English,,,,,,"Lister, Martin",,,,Read to Royal Society on  17 January 1683,,560a8c44-546b-429a-b366-46d4248a562d,http://emlo.bodleian.ox.ac.uk/profile/work/560a8c44-546b-429a-b366-46d4248a562d
100591,1683,2,1,1683-02-11,0,,,,JM,Feb. 1. 1682,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"York, North Yorkshire, England",300202,York,0,0,,"London, England",1606,,1,0,,"Lister told Aston he never saw Swammerdam's piece about insects,  nor did he understand it due to his lack of Dutch.  He asked Aston to get it translated.  Lister is doubtful if he can get his Goedart printed due to pressmen being bunglers, and printers only interested in monetary gain.   He thought that the greatest part of natural history was starved and abused by the avarice of stationers.",,English,,,,,,"Lister, Martin",,,,,,74678bdf-9eb0-48b6-a423-5bcee79dc0ef,http://emlo.bodleian.ox.ac.uk/profile/work/74678bdf-9eb0-48b6-a423-5bcee79dc0ef
100601,1683,12,,1684-01-10,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,,,,0,0,,"London, England",1606,,1,0,,Lister discussed his hypothesis that vapours of pyrites caused earthquakes.,,English,,,,,,"Lister, Martin",,,,"Read to the Royal Society on 19 December 1683, hence the surmise of date",,c5805749-b31c-4377-bd6c-0a19e1b0d1b2,http://emlo.bodleian.ox.ac.uk/profile/work/c5805749-b31c-4377-bd6c-0a19e1b0d1b2
100592,1683,2,,1683-03-10,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,"York, North Yorkshire, England",300202,York,0,0,,"London, England",1606,,1,0,,"Concerned a Roman altarpiece found in Durham and Roman antiquities in York, along with several mezzotints of the objects dedicated to Sir John Hoskyns, president of the Royal Society.",,English,,,,,,"Lister, Martin",,,,Read to the Royal Society on 7 February 1683,,23346722-888e-4c8c-949e-8c7b3ca51d61,http://emlo.bodleian.ox.ac.uk/profile/work/23346722-888e-4c8c-949e-8c7b3ca51d61
100590,1683,2,,1683-03-10,0,,,,JM,1682/3,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,,,,0,0,,"London, England",1606,,1,0,,Lister provided a short account of his book of mineral waters to the Royal Society.,,English,,,,,,"Lister, Martin",,,,Read to Royal Society on 31 January 1683,,dc2ddc1d-9547-43a0-9ce5-eb70671a5914,http://emlo.bodleian.ox.ac.uk/profile/work/dc2ddc1d-9547-43a0-9ce5-eb70671a5914
100603,1684,1,,1684-02-10,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,,,,0,0,,"London, England",1606,,1,0,,Lister postulated pyrite vapours caused thunder and lightning,,English,,,,,,"Lister, Martin",,,,"Read to the Royal Society on 23 January 1684, hence the surmise of date",,852f8678-e59f-4da0-b506-b9ff48ab0afe,http://emlo.bodleian.ox.ac.uk/profile/work/852f8678-e59f-4da0-b506-b9ff48ab0afe
100604,1684,3,,1684-04-10,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,,,,0,0,,"London, England",1606,,1,0,,Concerning Lister's experiments about magnetism.,,English,,,,,,"Lister, Martin",,,,Postulated approximate date from date and placement in letter book.,,924cc8cf-3a0b-4ee7-8359-66dab589f8ad,http://emlo.bodleian.ox.ac.uk/profile/work/924cc8cf-3a0b-4ee7-8359-66dab589f8ad
100602,1684,,,1685-01-10,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Aston, Francis",100009,,0,0,,,,,0,0,,"London, England",1606,,1,0,,Lister answered objections raised in the Royal Society about his theory of the spontaneous firing of pyrites.,,English,,,,,,"Lister, Martin",,,,,,b34a1f6b-ee0c-40ef-9ced-4a9341cac7c1,http://emlo.bodleian.ox.ac.uk/profile/work/b34a1f6b-ee0c-40ef-9ced-4a9341cac7c1
600999,1685,6,1,1685-06-11,0,,,,JM,,0,0,0,,"Wallis, John (Dr)",600059,,0,0,,"Aston, Francis",100009,,0,0,,"Marston St Lawrence, Northamptonshire, England",4742,,0,0,,,,,0,0,,,,,,,,,,"Wallis, John",,,,"In this letter Wallis reported that 'he had sent a manuscript treatise of logic with a dedication prefixt to the Royal Society' (Birch, History of the Royal Society IV, p. 404). The letter was read in the meeting of the Royal Society on 3/[13] June 1685. In the following meeting on 10/[20] June the Society directed Aston (the secretary) 'to return thanks' to Wallis and 'to mention to him the printing of it', i.e. of the manuscript (Birch, History of the Royal Society IV, p. 405). The mentioned dedication was probably Wallis-Royal Society 30.V/[9. VI].1685, while the manuscipt treatise of logic seems to be lost. Perhaps it was an early version of Wallis's Institutio Logicae… Anno 1687. primum edita (Wallis, Opera mathematica III, pp. 81-210).",,4eaeda36-f3cf-47fd-83a0-12ee75af7ac7,http://emlo.bodleian.ox.ac.uk/profile/work/4eaeda36-f3cf-47fd-83a0-12ee75af7ac7
601054,1688,2,18,1688-02-28,0,,,,JM,Febr. 18. 1687/8.,0,0,0,,"Wallis, John (Dr)",600059,,0,0,,"Aston, Francis",100009,,0,0,,"Oxford, Oxfordshire, England",400014,Oxford,0,0,,,,,0,0,,,,English,,,"Jessop, Francis",100091,,"Wallis, John",,,,,,3e011492-9131-496e-8e68-138f9a5e17bf,http://emlo.bodleian.ox.ac.uk/profile/work/3e011492-9131-496e-8e68-138f9a5e17bf
500016,1677,,,1677-12-31,0,,,,,[late May or early June],0,0,0,,"Aubrey, John",400011,,0,0,,"Aubrey, Deborah",500009,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",,,,Mentioned Bodl. Aubrey 13. 19,,8b50227f-26bc-43e3-9445-19238065af37,http://emlo.bodleian.ox.ac.uk/profile/work/8b50227f-26bc-43e3-9445-19238065af37
500584,1643,12,17,1643-12-17,0,,,,,16to calend. Jan: 1643,0,0,0,,"Browne, William",3533,,0,0,,"Aubrey, John",400011,,0,0,,"Oxford, Oxfordshire, England",400014,,0,0,,"Broad Chalke, Wiltshire, England",500057,Broad Chalke,0,0,,,,,,,,,,"Aubrey, John",,,,"""Chrystall"" written in bold letters below seal; Latin",,b08cb5bd-c0f0-4aeb-9bd7-5fd4b393e63f,http://emlo.bodleian.ox.ac.uk/profile/work/b08cb5bd-c0f0-4aeb-9bd7-5fd4b393e63f
500585,1644,5,3,1644-05-03,0,,,,,Ma[--]. 3o. 1644.,0,0,0,,"Browne, William",3533,,0,0,,"Aubrey, John",400011,,0,0,,"Oxford, Oxfordshire, England",400014,,0,0,,"Broad Chalke, Wiltshire, England",500057,Broad Chalke,0,0,,,,,,,,,,"Aubrey, John",,,,"Date unclear in image, check original; Latin",,f6644b8f-284c-4071-a327-faae42df604d,http://emlo.bodleian.ox.ac.uk/profile/work/f6644b8f-284c-4071-a327-faae42df604d
500586,1645,9,9,1645-09-09,0,,,,,Sept: 9. 1645.,0,0,0,,"Browne, William",3533,,0,0,,"Aubrey, John",400011,,0,0,,,,,0,0,,"Broad Chalke, Wiltshire, England",500057,Broad Chalke,0,0,,,,,,,,,,"Aubrey, John",,,,,,dd6ba9ec-279f-4c3a-bd0a-0916455fac95,http://emlo.bodleian.ox.ac.uk/profile/work/dd6ba9ec-279f-4c3a-bd0a-0916455fac95
500587,1646,11,12,1646-11-12,0,,,,,Nov: 12 1646.,0,0,0,,"Browne, William",3533,,0,0,,"Aubrey, John",400011,,0,0,,,,,0,0,,"London, England",1606,"Mr. Bird's house, glover, by the Middle Temple gate, London",0,0,,,,,,,,,,"Aubrey, John",,,,Latin,,79fd9e8c-8977-441f-b023-d8527348f5ce,http://emlo.bodleian.ox.ac.uk/profile/work/79fd9e8c-8977-441f-b023-d8527348f5ce
500766,1649,1,1,1649-01-01,0,,,,,"""Jan: 1. 1648""",0,0,0,,"Lydall, John",500048,,0,0,,"Aubrey, John",400011,,0,0,,"Oxford, Oxfordshire, England",400014,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",,,,,,6a04748c-b04c-4c35-8d67-4fb142393cc7,http://emlo.bodleian.ox.ac.uk/profile/work/6a04748c-b04c-4c35-8d67-4fb142393cc7
